Age,Gender,Marital Status,"How many children do you have, if any?",Education Level,Employment Status,Monthly Household Income,Did you vote in the previous election?,"If you didn't vote, what was the reason?",Would you be willing to vote in the next election?,How interested are you in politics?,How do you get your news and information about politics?/Other,"If other, specify.",Key Issues Summary,News Sources Summary
50-59,Male,Married,3.0,Tertiary,Unemployed,Less than 10000,Yes,I didn't think my vote would make a difference,Likely,Interested,0.0,Telephone,Healthcare Jobs/Employment Education Crime and Safety Transportation/Infrastructure Taxes Other  Social Justice/Equality; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Female,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Jobs/Employment Crime and Safety Environment/Climate Change Social Justice/Equality Education Taxes; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media Online News Websites; 1.0; 1.0; 0.0; 1.0; 0.0
20-29,Male,Single,0.0,Tertiary,Unemployed,Less than 10000,No,I didn't like the candidates,Not sure,Slightly interested,0.0,Not specified,Jobs/Employment Affordable Housing Crime and Safety; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Online News Websites; 0.0; 0.0; 0.0; 1.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,10001-20000,No,I was not eligible to vote,Not sure,Slightly interested,0.0,Not specified,Jobs/Employment Crime and Safety Transportation/Infrastructure; 0.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Very likely,Slightly interested,0.0,Not specified,Education Jobs/Employment Crime and Safety; 1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
60,Male,Married,3.0,Tertiary,Employed,60k+,Yes,No reason provided,Not sure,Slightly interested,0.0,Not specified,Jobs/Employment Crime and Safety Social Justice/Equality; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0,TV News Social Media Radio; 1.0; 1.0; 0.0; 0.0; 1.0
40-49,Female,Married,3.0,Tertiary,Employed,60k+,Yes,No reason provided,Likely,Not at all Interested,0.0,Not specified,Jobs/Employment Healthcare Crime and Safety Social Justice/Equality; 0.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
20-29,Female,Single,0.0,Tertiary,Employed,60k+,No,I didn't like the candidates,Unlikely,Not at all Interested,0.0,Not specified,Taxes Crime and Safety Jobs/Employment Healthcare; 0.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,60k+,Yes,No reason provided,Very Unlikely,Slightly interested,0.0,Not specified,Taxes Social Justice/Equality Environment/Climate Change Crime and Safety Jobs/Employment; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 1.0; 1.0; 1.0; 0.0,TV News Social Media; 1.0; 1.0; 0.0; 0.0; 0.0
<20,Female,Single,0.0,Secondary,Student,Less than 10000,No,I was not eligible to vote,Not sure,Not at all Interested,0.0,Not specified,Transportation/Infrastructure; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News; 1.0; 0.0; 0.0; 0.0; 0.0
20-29,Male,Single,0.0,Tertiary,Student,Less than 10000,No,Other,Very likely,Interested,0.0,Not specified,Jobs/Employment Taxes Healthcare; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,Radio Online News Websites; 0.0; 0.0; 0.0; 1.0; 1.0
20-29,Female,Single,0.0,Tertiary,Student,Less than 10000,Yes,No reason provided,Very likely,Very Interested,0.0,Not specified,Crime and Safety Education Jobs/Employment Healthcare Taxes Transportation/Infrastructure Social Justice/Equality; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0,Social Media TV News Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
40-49,Female,Married,3.0,Secondary,Self-employed,10001-20000,No,Other,Very likely,Interested,0.0,Not specified,Education Taxes Healthcare; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0,TV News Radio; 1.0; 0.0; 0.0; 0.0; 1.0
20-29,Male,Single,0.0,Tertiary,Self-employed,60k+,Yes,No reason provided,Very likely,Interested,0.0,Not specified,Healthcare Education Jobs/Employment Affordable Housing Transportation/Infrastructure; 1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0,TV News Social Media Print Newspapers Online News Websites Radio; 1.0; 1.0; 1.0; 1.0; 1.0
20-29,Male,Single,0.0,Tertiary,Unemployed,Less than 10000,Yes,I didn't think my vote would make a difference,Very likely,Very Interested,0.0,Not specified,Crime and Safety; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0,Social Media; 0.0; 1.0; 0.0; 0.0; 0.0
